Source	Data
N5468	24.1449
N5468	24.5466
N5468	25.2697
N5468	24.4418
N5468	24.8185
N5468	25.0463
N5584	24.8885
N5584	23.8855
N5584	24.9412
N5584	23.7262
N5584	24.348
N5584	23.8303
N5584	25.7441
N5584	25.4071
N5584	24.0545
N5584	23.8036
N5584	24.3635
N5584	22.7873
N5584	24.6594
N5584	25.0308
N5584	24.8477
N5584	23.2836
N5584	24.6862
N5584	23.6454
N5584	25.1505
N5584	23.4275
N5584	24.9322
N5584	24.5817
N5584	22.9748
N5584	25.0299
N5584	23.9359
N5584	24.0068
N5584	24.4305
N5584	23.4779
N5584	24.9082
N5584	24.5731
N5584	23.8641
N5584	24.9646
N5584	23.8399
N5584	24.9772
N5584	25.4214
N5584	24.8031
N5584	24.7311
N5584	24.8408
N5584	24.3168
N5584	24.8896
N5584	23.5888
N5584	24.4106
N5584	24.5224
N5584	24.2531
N5584	24.8681
N5584	24.0146
N5584	24.8213
N5584	23.6976
N5584	25.8728
N5584	24.8263
N5584	25.2836
N5584	24.3579
N5584	24.5034
N5584	25.5248
N5584	25.0284
N5584	25.2582
N5584	24.6579
N5584	23.9898
N5584	24.6124
N5584	24.6741
N5584	23.5337
N5584	24.0772
N5584	24.8463
N5584	23.3531
N5584	23.6636
N5584	24.7238
N5584	25.3599
N5584	24.9052
N5584	24.1359
N5584	23.0686
N5584	23.5464
N5584	23.6303
N5584	23.4031
N5584	23.4165
N5584	24.6219
N5584	25.1739
N5584	25.6098
N5584	25.2663
N5584	23.3688
N5584	22.9494
N5584	23.9397
N5584	24.982
N5584	23.3974
N5584	23.4756
N5584	24.6875
N5584	24.2064
N5584	24.7598
N5584	24.6465
N5584	23.3049
N5584	24.1083
N5584	24.9236
N5584	24.9577
N5584	25.602
N5584	23.659
N5584	23.4154
N5584	24.5227
N5584	24.0436
N5584	24.5517
N5584	23.8314
N5584	23.155
N5584	24.1701
N5584	23.3761
N5584	23.3393
