Paper: Title..., arXiv:251X.XXXXX
Authors: Högås M., Mörtsell E., Desmond H., Riess A.
Table: I
================================================================================
Byte-by-byte description of file: Table_I.txt
--------------------------------------------------------------------------------
Format Units Label    Explanations
--------------------------------------------------------------------------------
A5     ---   Field    Observed field
F11.8  dex   Phi_low  Lower bound of external potential
F11.8  dex   Phi_mean Mean external potential
F11.8  dex   Phi_high Upper bound of external potential
F12.8  dex   a_low    Lower bound of external acceleration
F12.8  dex   a_mean   Mean external acceleration
F12.8  dex   a_high   Upper bound of external acceleration
F12.8  dex   K_low    Lower bound of external curvature
F12.8  dex   K_mean   Mean external curvature
F12.8  dex   K_high   Upper bound of external curvature
F4.1   Mpc   Rmax     Cutoff radius
--------------------------------------------------------------------------------
Field       Phi_low   Phi_mean   Phi_high      a_low     a_mean     a_high       K_low      K_mean      K_high   Rmax
N5861      -7.60891   -7.46836   -7.29694  -15.94204  -15.94204  -15.32519   -55.56350   -55.23906   -55.08184    1.4
N5861      -6.26091   -6.15176   -5.97926  -15.74520  -15.41389  -15.27138   -55.31100   -55.01899   -54.91973    5.1
N5861      -5.03655   -4.97006   -4.83734  -15.15595  -14.99071  -14.81122   -55.19251   -55.10271   -54.85713   18.1
N5861      -4.06995   -4.04213   -3.99225  -14.51893  -14.44040  -14.40124   -55.03930   -54.97856   -54.82178   50.0
N5917      -8.74120   -8.63727   -8.33629  -15.84765  -15.45369  -15.17394   -55.43235   -55.26056   -54.65442    0.4
N5917      -7.47110   -7.31896   -7.13740  -15.86438  -15.65971  -14.93419   -55.34045   -55.24953   -54.82278    1.4
N5917      -6.09315   -5.95024   -5.69946  -15.55841  -15.41980  -14.79956   -55.23159   -55.07676   -54.80085    5.1
N5917      -5.16440   -5.07660   -5.00078  -15.12814  -14.90275  -14.74453   -55.16766   -55.06721   -54.74274   18.1
N5917      -4.08459   -4.06662   -4.01403  -14.47632  -14.42270  -14.34973   -54.93699   -54.93699   -54.64649   50.0
N7250      -9.54308   -9.54308   -9.17644  -16.48862  -16.48862  -16.19614   -56.03195   -55.98617   -55.58688    0.4
N7250      -8.43945   -8.43945   -8.03382  -16.48862  -16.48862  -16.19271   -56.03245   -55.98617   -55.58723    1.4
N7250      -7.26964   -7.26964   -7.05610  -16.50582  -16.50582  -15.96869   -56.02577   -55.97934   -55.57118    5.1
N7250      -5.78049   -5.72192   -5.69765  -15.99524  -15.78168  -15.72503   -55.88343   -55.88343   -55.46337   18.1
